frameId,timestamp,num_hands,num_fingers,rh_confidence,rh_pinch_st,rh_grab_st,rh_thumb_x_dip,rh_thumb_y_dip,rh_thumb_z_dip,rh_thumb_x_pip,rh_thumb_y_pip,rh_thumb_z_pip,rh_thumb_x_mcp,rh_thumb_y_mcp,rh_thumb_z_mcp,rh_index_x_dip,rh_index_y_dip,rh_index_z_dip,rh_index_x_pip,rh_index_y_pip,rh_index_z_pip,rh_index_x_mcp,rh_index_y_mcp,rh_index_z_mcp,rh_middle_x_dip,rh_middle_y_dip,rh_middle_z_dip,rh_middle_x_pip,rh_middle_y_pip,rh_middle_z_pip,rh_middle_x_mcp,rh_middle_y_mcp,rh_middle_z_mcp,rh_ring_x_dip,rh_ring_y_dip,rh_ring_z_dip,rh_ring_x_pip,rh_ring_y_pip,rh_ring_z_pip,rh_ring_x_mcp,rh_ring_y_mcp,rh_ring_z_mcp,rh_pinky_x_dip,rh_pinky_y_dip,rh_pinky_z_dip,rh_pinky_x_pip,rh_pinky_y_pip,rh_pinky_z_pip,rh_pinky_x_mcp,rh_pinky_y_mcp,rh_pinky_z_mcp,lh_confidence,lh_pinch_st,lh_grab_st,lh_thumb_x_dip,lh_thumb_y_dip,lh_thumb_z_dip,lh_thumb_x_pip,lh_thumb_y_pip,lh_thumb_z_pip,lh_thumb_x_mcp,lh_thumb_y_mcp,lh_thumb_z_mcp,lh_index_x_dip,lh_index_y_dip,lh_index_z_dip,lh_index_x_pip,lh_index_y_pip,lh_index_z_pip,lh_index_x_mcp,lh_index_y_mcp,lh_index_z_mcp,lh_middle_x_dip,lh_middle_y_dip,lh_middle_z_dip,lh_middle_x_pip,lh_middle_y_pip,lh_middle_z_pip,lh_middle_x_mcp,lh_middle_y_mcp,lh_middle_z_mcp,lh_ring_x_dip,lh_ring_y_dip,lh_ring_z_dip,lh_ring_x_pip,lh_ring_y_pip,lh_ring_z_pip,lh_ring_x_mcp,lh_ring_y_mcp,lh_ring_z_mcp,lh_pinky_x_dip,lh_pinky_y_dip,lh_pinky_z_dip,lh_pinky_x_pip,lh_pinky_y_pip,lh_pinky_z_pip,lh_pinky_x_mcp,lh_pinky_y_mcp,lh_pinky_z_mcp
14446,9797397406,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.901971,0.497098,0.307211,-41.2258,201.724,72.3238,-51.2814,192.914,104.409,-82.8933,167.938,135.497,-30.1746,213.008,21.6994,-43.7119,222.291,40.0764,-68.131,226.432,76.1985,-52.2637,208.778,1.37382,-67.1228,218.013,24.4887,-88.9027,222.54,68.3025,-77.4882,203.631,-0.655806,-91.3092,210.39,23.0259,-109.749,212.984,64.5941,-104.548,192.67,10.7051,-114.503,197.66,27.2451,-126.709,199.694,61.1011
14448,9797415959,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.895978,0.496506,0.308088,-41.2071,201.657,72.4124,-51.2912,192.851,104.489,-82.9809,167.897,135.516,-30.202,212.848,21.722,-43.7181,222.165,40.0979,-68.1206,226.373,76.2234,-52.3156,208.738,1.35246,-67.1347,217.927,24.511,-88.8985,222.515,68.3265,-77.5168,203.57,-0.634907,-91.321,210.347,23.0516,-109.76,212.993,64.6167,-104.577,192.619,10.7339,-114.517,197.628,27.277,-126.742,199.732,61.1221
14451,9797444144,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.902359,0.498762,0.309831,-41.2441,201.536,72.4032,-51.3871,192.737,104.463,-83.1181,167.864,135.513,-30.2489,212.666,21.7199,-43.7455,222.051,40.075,-68.1421,226.29,76.201,-52.3629,208.517,1.33991,-67.1561,217.734,24.5043,-88.9253,222.467,68.3016,-77.5638,203.434,-0.650001,-91.351,210.239,23.0385,-109.803,212.981,64.5915,-104.489,192.256,10.8273,-114.46,197.381,27.3157,-126.808,199.748,61.0987
14453,9797463091,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.910893,0.499088,0.311541,-41.2673,201.457,72.3914,-51.4387,192.663,104.444,-83.1917,167.833,135.505,-30.2794,212.575,21.6975,-43.7665,221.973,40.0529,-68.1551,226.232,76.1819,-52.394,208.401,1.31971,-67.171,217.623,24.4926,-88.9413,222.427,68.2816,-77.5842,203.329,-0.660829,-91.3606,210.147,23.0302,-109.828,212.96,64.5717,-104.501,192.063,10.8456,-114.474,197.245,27.3155,-126.845,199.743,61.0804
14457,9797500631,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.919953,0.501582,0.32856,-41.2713,201.183,72.2509,-51.5726,192.384,104.26,-83.3257,167.734,135.465,-30.3731,212.493,21.5798,-43.8424,221.85,39.9696,-68.1936,226.092,76.1256,-52.5769,208.1,1.18933,-67.2655,217.263,24.4414,-88.9863,222.319,68.2267,-77.84,202.517,-0.732933,-91.4809,209.47,22.9969,-109.889,212.886,64.5198,-104.81,191.852,10.6964,-114.66,197.026,27.2425,-126.928,199.696,61.0323
14459,9797518816,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.921232,0.500416,0.333132,-41.2706,201.043,72.1661,-51.6388,192.239,104.153,-83.3833,167.68,135.438,-30.5721,212.401,21.399,-43.9944,221.677,39.8634,-68.2182,226.024,76.0927,-52.6692,207.966,1.12207,-67.32,217.107,24.4067,-89.0129,222.262,68.1942,-77.9699,202.257,-0.790254,-91.5546,209.244,22.9621,-109.921,212.84,64.4881,-104.876,191.733,10.6592,-114.701,196.915,27.2178,-126.967,199.66,61.0019
14461,9797537550,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.904147,0.502184,0.339241,-41.1289,200.576,71.9617,-51.6313,191.876,103.933,-83.4261,167.634,135.414,-30.8053,212.443,21.1719,-44.1724,221.616,39.728,-68.2362,225.966,76.0634,-52.71,207.767,1.10277,-67.3418,216.929,24.3912,-89.0323,222.212,68.1647,-77.9278,202.032,-0.769177,-91.5125,209.042,22.9761,-109.944,212.798,64.4591,-104.674,191.177,10.8063,-114.55,196.507,27.2876,-126.996,199.624,60.9738
14462,9797547903,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.857192,0.506521,0.343708,-41.0524,200.328,71.8474,-51.6343,191.677,103.806,-83.4471,167.606,135.399,-30.875,212.229,21.1461,-44.2186,221.437,39.7016,-68.244,225.931,76.0448,-52.7276,207.662,1.09005,-67.3506,216.835,24.3797,-89.0407,222.18,68.1459,-77.8857,201.866,-0.746821,-91.4742,208.9,22.9895,-109.954,212.77,64.4405,-104.411,190.502,11.0258,-114.374,196.047,27.3831,-127.008,199.599,60.9558
14465,9797574844,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.872104,0.513295,0.346374,-40.8364,199.952,71.7149,-51.6077,191.337,103.62,-83.4735,167.529,135.359,-30.9191,211.816,21.1321,-44.2443,221.054,39.6857,-68.252,225.847,76.0025,-52.7525,207.469,1.05564,-67.3608,216.658,24.3486,-89.0495,222.102,68.1032,-77.8879,201.728,-0.783025,-91.4631,208.752,22.9638,-109.965,212.698,64.3976,-104.317,190.311,11.0435,-114.291,195.871,27.3891,-127.024,199.531,60.9129
14466,9797588222,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.87989,0.513393,0.351764,-40.8089,199.904,71.7014,-51.5948,191.277,103.598,-83.4649,167.467,135.331,-30.9098,211.756,21.1092,-44.2355,220.992,39.6642,-68.2445,225.79,75.9793,-52.7522,207.381,1.03308,-67.3551,216.571,24.3286,-89.0423,222.046,68.0802,-77.7871,201.46,-0.721887,-91.3968,208.571,22.9791,-109.958,212.642,64.3743,-104.385,190.601,10.9026,-114.294,195.999,27.3418,-127.017,199.476,60.8889
14467,9797594547,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.88305,0.513516,0.353754,-40.7591,199.9,71.6572,-51.5207,191.244,103.554,-83.3475,167.387,135.295,-30.9174,211.774,21.059,-44.2382,220.99,39.6269,-68.2251,225.753,75.9613,-52.767,207.379,0.996943,-67.3614,216.545,24.3073,-89.0244,221.992,68.0744,-77.7598,201.37,-0.713149,-91.3736,208.489,22.9831,-109.933,212.569,64.3781,-104.462,190.661,10.8324,-114.334,196.001,27.3131,-126.981,199.388,60.8979
14469,9797612206,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.890443,0.514021,0.354637,-40.5921,199.821,71.6092,-51.3222,191.064,103.489,-83.0494,167.039,135.204,-30.826,211.75,21.0226,-44.1658,220.904,39.6077,-68.1439,225.555,75.9623,-52.6072,207.235,1.01443,-67.2436,216.379,24.307,-88.9314,221.734,68.0731,-77.5959,201.242,-0.74244,-91.231,208.277,22.9669,-109.808,212.244,64.3652,-104.309,190.51,10.7565,-114.188,195.772,27.2572,-126.81,199.008,60.8666
14470,9797621626,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.894035,0.514769,0.355679,-40.5044,199.834,71.5872,-51.2242,191.055,103.465,-82.9017,166.967,135.18,-30.7787,211.769,20.9922,-44.132,220.923,39.5676,-68.1091,225.504,75.9318,-52.5068,207.138,1.02138,-67.1793,216.31,24.28,-88.887,221.637,68.0396,-77.5028,201.105,-0.765176,-91.154,208.133,22.9369,-109.743,212.102,64.3297,-104.195,190.395,10.719,-114.088,195.632,27.2199,-126.716,198.831,60.8303
14472,9797640219,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.902557,0.516501,0.356778,-40.3381,199.808,71.5621,-51.057,191.007,103.434,-82.6975,166.865,135.146,-30.6403,211.719,20.9745,-44.0032,220.906,39.5265,-67.9836,225.422,75.8969,-52.3158,206.996,1.02803,-67.0242,216.211,24.2469,-88.7526,221.52,67.9985,-77.3566,200.902,-0.80359,-91.0153,207.953,22.8871,-109.591,211.95,64.2829,-103.98,190.235,10.686,-113.896,195.469,27.1736,-126.541,198.65,60.7794
14474,9797659541,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.910597,0.517855,0.356066,-40.1534,199.86,71.4241,-50.8628,191.036,103.293,-82.4582,166.819,134.993,-30.429,211.768,20.8631,-43.8263,220.97,39.3827,-67.8551,225.393,75.7325,-52.1193,206.933,0.892602,-66.8623,216.161,24.0847,-88.6128,221.443,67.8285,-77.1835,200.803,-0.971638,-90.8627,207.861,22.7055,-109.429,211.826,64.1087,-103.731,190.097,10.5341,-113.677,195.325,27.0057,-126.349,198.487,60.6033
14476,9797677610,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.915021,0.520659,0.356648,-40.0144,199.919,71.2762,-50.707,191.074,103.145,-82.258,166.797,134.843,-30.256,211.815,20.7718,-43.6794,221.076,39.2432,-67.7576,225.387,75.5736,-51.9921,206.91,0.748493,-66.7541,216.143,23.9266,-88.509,221.401,67.6712,-77.0561,200.671,-1.10508,-90.7578,207.778,22.5444,-109.309,211.748,63.9539,-103.613,190.114,10.3577,-113.57,195.315,26.831,-126.206,198.38,60.4512
14478,9797696371,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.920823,0.523367,0.356391,-39.8994,199.861,71.1461,-50.569,190.988,103.014,-82.091,166.675,134.714,-30.1241,211.739,20.7185,-43.5482,221.051,39.1637,-67.6448,225.321,75.4869,-51.8995,206.868,0.664164,-66.665,216.121,23.8315,-88.3989,221.333,67.5921,-76.9708,200.661,-1.20236,-90.6687,207.754,22.4532,-109.197,211.675,63.8776,-103.519,190.168,10.255,-113.483,195.342,26.7327,-126.091,198.304,60.3725
14480,9797715105,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.923616,0.52596,0.355878,-39.8196,199.784,71.0352,-50.4769,190.863,102.894,-81.986,166.498,134.566,-30.0325,211.674,20.6831,-43.46,221.025,39.1061,-67.5824,225.235,75.4191,-51.8193,206.798,0.628524,-66.609,216.112,23.756,-88.3386,221.252,67.5272,-76.9126,200.687,-1.28805,-90.6176,207.758,22.3701,-109.135,211.593,63.8072,-103.479,190.274,10.1364,-113.446,195.399,26.6276,-126.027,198.222,60.2896
14482,9797733804,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.919514,0.528743,0.358676,-39.747,199.768,70.9792,-50.4044,190.819,102.83,-81.9055,166.436,134.497,-29.9771,211.666,20.6848,-43.4085,221.065,39.0807,-67.5597,225.219,75.381,-51.8201,206.813,0.599448,-66.6153,216.159,23.711,-88.3207,221.237,67.5014,-76.7563,200.499,-1.18034,-90.5533,207.736,22.374,-109.118,211.575,63.7898,-103.507,190.319,10.0945,-113.467,195.432,26.5939,-126.008,198.202,60.2751
14483,9797746310,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.877095,0.529535,0.359031,-39.7375,199.826,70.9354,-50.3827,190.863,102.787,-81.8593,166.458,134.461,-30.0158,211.789,20.6369,-43.446,221.193,39.0311,-67.5872,225.261,75.3477,-51.8552,206.861,0.575906,-66.6556,216.218,23.6797,-88.3498,221.266,67.479,-76.7834,200.486,-1.18053,-90.5949,207.764,22.3527,-109.142,211.592,63.7773,-103.549,190.35,10.0744,-113.503,195.453,26.5801,-126.025,198.207,60.2696
14485,9797764307,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.889219,0.533502,0.358827,-39.7093,199.823,70.9003,-50.385,190.835,102.734,-81.8447,166.449,134.439,-29.9913,211.496,20.7003,-43.4167,220.983,39.0553,-67.5893,225.257,75.3274,-51.8767,206.807,0.565151,-66.6691,216.179,23.6677,-88.3555,221.265,67.4666,-76.818,200.466,-1.19012,-90.6275,207.769,22.3362,-109.151,211.593,63.772,-103.617,190.392,10.0461,-113.559,195.489,26.5611,-126.037,198.211,60.2695
14487,9797780603,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.898739,0.537407,0.35796,-39.6921,199.82,70.8633,-50.3976,190.806,102.68,-81.8362,166.437,134.419,-29.973,211.228,20.7609,-43.3932,220.795,39.0776,-67.5937,225.25,75.3093,-51.8957,206.749,0.555862,-66.679,216.129,23.6608,-88.3632,221.263,67.4552,-76.8895,200.48,-1.22678,-90.6794,207.783,22.3114,-109.161,211.594,63.7669,-103.665,190.428,10.0277,-113.601,195.522,26.5471,-126.05,198.215,60.2687
14488,9797789984,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.903838,0.537751,0.357142,-39.6873,199.818,70.8433,-50.404,190.792,102.653,-81.8325,166.431,134.408,-29.9796,211.211,20.7482,-43.3982,220.774,39.0685,-67.5976,225.247,75.2988,-51.9198,206.753,0.535886,-66.6951,216.126,23.6491,-88.3689,221.261,67.4485,-76.9648,200.51,-1.27257,-90.7257,207.789,22.2899,-109.168,211.594,63.7635,-103.693,190.412,10.0232,-113.628,195.518,26.54,-126.059,198.216,60.2678
14491,9797827236,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.903139,0.539767,0.355597,-39.7027,199.808,70.7719,-50.4408,190.755,102.567,-81.8443,166.411,134.359,-30.0624,211.126,20.6913,-43.4598,220.723,39.0097,-67.6292,225.236,75.255,-51.9798,206.663,0.503108,-66.7386,216.048,23.6222,-88.406,221.257,67.4159,-77.2157,200.505,-1.39956,-90.8998,207.775,22.2102,-109.21,211.596,63.741,-103.886,190.409,9.94895,-113.783,195.526,26.4846,-126.106,198.223,60.2522
14492,9797837341,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.905396,0.540326,0.356424,-39.7097,199.816,70.7531,-50.4493,190.757,102.545,-81.8417,166.411,134.348,-30.0943,211.124,20.6718,-43.4861,220.731,38.9889,-67.6442,225.239,75.2423,-52.0063,206.665,0.485972,-66.7604,216.043,23.6105,-88.4218,221.257,67.4066,-77.2676,200.465,-1.41944,-90.9359,207.741,22.1979,-109.225,211.593,63.7349,-103.918,190.405,9.93809,-113.811,195.523,26.4757,-126.119,198.218,60.2487
